student_id,full_name,email,department
20210001,Ayşe Yılmaz,ayse.yilmaz@tedu.edu.tr,CMPE
20210002,Mehmet Demir,mehmet.demir@tedu.edu.tr,CMPE
20210003,Zeynep Kaya,zeynep.kaya@tedu.edu.tr,CMPE
20210004,Ali Şahin,ali.sahin@tedu.edu.tr,CMPE
20210005,Fatma Aksoy,fatma.aksoy@tedu.edu.tr,EEE
20210006,Emre Çelik,emre.celik@tedu.edu.tr,CMPE
20210007,Selin Doğan,selin.dogan@tedu.edu.tr,IE
20210008,Burak Arslan,burak.arslan@tedu.edu.tr,CMPE
20210009,Elif Yıldız,elif.yildiz@tedu.edu.tr,EEE
20210010,Cem Polat,cem.polat@tedu.edu.tr,CMPE
